FirstName,LastName,twitter handle,election label
Ralph,Abraham,@abraham_ralph,no
Alma,Adams,@AlmaforCongress,yes
Robert,Aderholt,,no
Pete,Aguilar,@aguilarpete,yes
Rick,Allen,@rickallen,no
Justin,Amash,@justinamash,no
Mark,Amodei,@AmodeiForNevada,no
Jodey,Arrington,@JodeyArrington,no
Brian,Babin,@Babin4Congress,yes
Don,Bacon,@DonJBacon,yes
Jim,Banks,@Jim_Banks,yes
Lou,Barletta,@louforsenate,yes
Andy,Barr,@barrforcongress,yes
Nanette,Barragán,@Nanette4CA,no
Joe,Barton,@Barton4Congress,no
Karen,Bass,g,no
Joyce,Beatty,@JoyceBeatty,no
Ami,Bera,@BeraForCongress,no
Jack,Bergman,,no
Donald,Beyer,@DonBeyerVA,no
Andy,Biggs,@andybiggs4az,no
Gus,Bilirakis,@Bilirakis,no
Mike,Bishop,@MikeBishopMI,no
Rob,Bishop,@RobBishopUT,no
Sanford,Bishop,,no
Diane,Black,@DianeBlackTN,no
Marsha,Blackburn,@VoteMarsha,no
Rod,Blum,@RodBlum,no
Earl,Blumenauer,@repblumenauer,no
Lisa,Blunt Rochester,@LisaBRochester,no
Suzanne,Bonamici,,no
Madeleine,Bordallo,,no
Mike,Bost,,no
Brendan,Boyle,,no
Kevin,Brady,@bradyfortexas,yes
Robert,Brady,,no
Dave,Brat,@DaveBratVA7th,no
Mo,Brooks,@mobrooksforsen,no
Susan,Brooks,@SusanBrooksIN,no
Anthony,Brown,,no
Julia,Brownley,@JuliaBrownley,no
Vern,Buchanan,@VernBuchanan,no
Ken,Buck,@BuckForColorado,no
Larry,Bucshon,@DrLarryBucshon,yes
Ted,Budd,@buddforcongress,yes
Michael,Burgess,,no
Cheri,Bustos,@CheriBustos,yes
G.,Butterfield,,no
Bradley,Byrne,@BradleyByrne,no
Ken,Calvert,@TeamCalvert,yes
Michael,Capuano,@mikecapuano,no
Salud,Carbajal,@carbajalsalud,no
Tony,Cárdenas,@CardenasforCA,no
André,Carson,@Andre4Congress,yes
Earl,Carter,,
John,Carter,@JudgeCarter,no
Matt,Cartwright,@CartwrightPA,yes
Kathy,Castor,@KathyCastorFL,no
Joaquin,Castro,@Castro4Congress,yes
Steve,Chabot,@SteveChabot,no
Liz,Cheney,@Liz_Cheney,no
Judy,Chu,@JudyChuCampaign,no
David,Cicilline,@davidcicilline,no
Katherine,Clark,@KatherineClark,no
Yvette,Clarke,@VoteYvette,no
Wm.,Clay,@LacyClayMO1,no
